personnage;acteur;episode;group;birthday
Richard Burke;Tom Selleck;['215', '216', '218', '220', '223', '224', '313', '624', '625'];Celebrite;29 janvier 1945
Nora Tyler Bing;Morgan Fairchild;['111', '508', '723', '724', '801'];Celebrite;3 février 1950
Janine Lecroix;Elle Mac Pherson;['607', '608', '609', '610', '611'];Celebrite;29 mars 1963
Charles « Helena » Bing;Kathleen Turner;['722', '723', '724'];Celebrite;
Paul Stevens;Bruce Willis;['621', '622', '623'];Celebrite;19 mars 1955
Amy Green;Christina  Applegate;['908', '1005'];Celebrite;25 novembre 1971
Jill Green;Reese Witherspoon;['613', '614'];Celebrite;22 mars 1976
Richard Crosby;Gary Oldman;['723', '724'];Celebrite;21 mars 1958
Andrea Waltham;Jennifer Saunders;['424', '501'];Celebrite;
Eric;Sean Penn;['806', '807'];Celebrite;17 août 1960
Parker;Alec Baldwin;['817', '818'];Celebrite;3 avril 1958
Steve;Jon Lovitz;['115', '914'];Celebrite;21 juillet 1957
Will Colbert;Brad Pitt;['809'];Celebrite;18 décembre 1963
Melissa Warburton;Winona Ryder;['720'];Celebrite;29 octobre 1971
Jean-Claude Van Damme;Jean-Claude Van Damme;['213'];Celebrite;
Susie Moss;Julia Roberts;['213'];Celebrite;
Stephanie Schiffer;Chrissie Hynde;['206'];Celebrite;
Dr Rosen;Noah Wyle;['117'];Celebrite;
Erica Ford;Brooke Shield;['212'];Celebrite;
Dr Mitchell;George Clooney;['117'];Celebrite;6 mai 1961
Rob Donan;Chris Isaak;['212'];Celebrite;26 juin 1956
Cassie;Denise Richards;['719'];Celebrite;
Jill Goodacre;Jill Connick;['107'];Celebrite;
Cecilia Monroe;Suzan Sarandon;['715'];Celebrite;4 octobre 1946
Tommy;Ben Stiller;['322'];Celebrite;30 novembre 1965
Mackenzie;Dakota Fanning;['1014'];Celebrite;23 février 1994
Leonard Haze;Jeff Goldblum;['915'];Celebrite;22 octobre 1952
Malcolm;David Arquette;['303'];Celebrite;8 septembre 1971
Sandy;Freddie Prinze Jr.;['906'];Celebrite;
Caroline Duffy;Lea Thompson;['206'];Celebrite;31 mai 1961
Ryan;Charlie Sheen;['223'];Celebrite;3 septembre 1965
Jamie Buchman;Helen Hunt;['116'];Celebrite;15 juin 1963
Earl;Jason Alexander;['713'];Celebrite;
Charlton Heston;Charlton Heston;['414'];Celebrite;4 octobre 1923
Thomas;Robin Williams;['324'];Celebrite;21 juillet 1951
Turdie Styler;Turdie Styler;['810'];Celebrite;
Isabella Rossellini;Isabella Rossellini;['305'];Celebrite;18 juin 1952
Sarah Ferguson;Sarah Ferguson;['423'];Celebrite;15 octobre 1959
Jay Leno;Jay Leno;['111'];Celebrite;28 avril 1950
Vendeur de souvenirs;Richard Branson;['423'];Celebrite;18 juillet 1950
Ralph Lauren;Ralph Lauren;['608'];Celebrite;14 octobre 1939
Gary Collins;Gary Collins;['504'];Celebrite;30 avril 1938
Roy;Danny DeVito;['1011'];Celebrite;17 novembre 1944
Tim;Billy Crystal;['324'];Celebrite;14 mars 1948
Gunther;James Michael Tyler;['209', '219', '221', '222', '307', '308', '310', '311', '312', '313', '314', '316', '318', '319', '321', '322', '405', '406', '408', '409', '410', '416', '419', '420', '422', '502', '506', '507', '521', '603', '605', '612', '613', '614', '617', '622', '623', '710', '720', '723', '802', '806', '807', '815', '816', '819', '902', '904', '911', '915', '918', '920', '1012', '1014', '1017'];Incontournable;28 mai 1962
Emma Geller;non créditée;['824', '901', '902', '905', '906', '907', '911', '912', '914', '917', '923', '1001', '1004', '1005', '1006', '1007', '1008', '1009', '1010', '1013', '1015'];Incontournable;
Jack Geller;Elliott Gould;['102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004'];Incontournable;29 août 1938
Judy Geller;Christina Pickles;['102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004'];Incontournable;
Janice Littman Guralnick;Maggie Wheeler;['105', '110', '114', '203', '224', '301', '303', '304', '306', '307', '308', '415', '512', '707', '823', '824', '921', '1015'];Incontournable;
Mike Hanigan;Paul Rudd;['903', '904', '906', '907', '909', '912', '913', '916', '917', '923', '924', '1001', '1005', '1007', '1012', '1014', '1017'];Incontournable;6 avril 1969
Ben Geller;Cole Mitchell Sprouse;['123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812'];Incontournable;4 août 1992
Carol Willick;Jane Sibbett;['109', '112', '114', '116', '123', '202', '211', '220', '304', '317', '418', '518', '615', '616', '716'];Incontournable;
Emily Waltham;Helen Baxendale;['414', '415', '416', '417', '418', '419', '421', '423', '424', '501', '504', '506', '520'];Incontournable;7 juin 1970
Susan Bunch;Jessica Hecht;['102', '109', '112', '114', '116', '123', '202', '211', '220', '304', '418', '616'];Incontournable;28 juin 1965
Dick;non crédité;['321', '322', '323', '402', '414', '422', '503', '508', '512', '519', '620'];Incontournable;31 mai 1950
Estelle Leonard;June Gable;['123', '210', '219', '322', '510', '604', '621', '719', '822', '1004'];Incontournable;
Marcel;Singe;['110', '115', '116', '117', '118', '119', '121', '212', '213'];Incontournable;
Frank Jr Buffay;Giovanni Ribisi;['206', '221', '305', '318', '411', '412', '417', '503', '1002'];Incontournable;17 décembre 1974
Professeur Charlie Wheeler;Aisha Tyler;['920', '921', '922', '923', '924', '1001', '1002', '1005', '1006'];Incontournable;18 septembre 1970
Yasmine;non crédité;['321', '323', '402', '408', '414', '503', '511', '512', '620'];Incontournable;31 mai 1950
Ursula Buffay;Lisa Kudrow;['116', '117', '303', '401', '513', '614', '714', '806'];Incontournable;30 juillet 1963
Tag Jones;Eddie Cahill;['704', '705', '708', '709', '712', '714', '802'];Incontournable;15 janvier 1978
Mona;Bonnie Somerville;['801', '805', '806', '808', '811', '815', '817'];Incontournable;
Julie;Lauren Tom;['124', '201', '202', '204', '207', '208', '210'];Incontournable;4 août 1961
Kathy;Paget Brewster;['405', '406', '407', '408', '411', '413'];Incontournable;
Pete Becker;Jon Favreau;['318', '319', '321', '322', '323', '324'];Incontournable;19 octobre 1966
Alice Knight ep. Buffay;Debra Jo Rupp;['318', '411', '412', '417', '418', '503'];Incontournable;
Mark;Steven Eckholdt;['311', '312', '314', '315', '319', '1014'];Incontournable;
David;Hank Azaria;['110', '711', '906', '922', '923'];Incontournable;25 avril 1964
Elizabeth Stevens;Alexandra Holden;['618', '619', '621', '622', '624'];Incontournable;30 avril 1977
Barry Farber;Mitchell Whitfield;['102', '119', '120', '224', '616'];Incontournable;
Joshua Bergen;Tate Donovan;['413', '414', '416', '418', '420'];Incontournable;25 septembre 1963
Mr Heckles;Larry Hankin;['107', '116', '119', '203', '306'];Incontournable;
Mr Treeger;Michael G. Hagerty;['203', '209', '404', '417', '803'];Incontournable;10 mai 1954
Paolo;Cosimo Fusco;['107', '111', '112', '201'];Incontournable;23 septembre 1962
Erica;Anna Faris;['1009', '1013', '1016', '1017'];Incontournable;29 novembre 1976
Mr Zelner;Steve Ireland;['517', '709', '817', '911', '1014', '1015'];Recurrent;
Dr Long;Amanda Carlin;['803', '813', '814', '822', '823', '824'];Recurrent;
Gary;Michael Rapaport;['516', '517', '520', '521'];Recurrent;20 mars 1970
Dr Leonard Green;Ron Leibman;['222', '307', '808', '1013'];Recurrent;11 octobre 1937
Jasmine;Cynthia Mann;['101', '112', '305', '316'];Recurrent;18 octobre 1940
Sophie;Laura Dean;['315', '320', '403', '409'];Recurrent;27 mai 1963
Phoebe Abbott;Teri Garr;['325', '401', '411'];Recurrent;11 décembre 1944
Joanna;Alison LaPlaca;['320', '403', '409'];Recurrent;
Eddie Minowick;Adam Goldberg;['217', '218', '219'];Recurrent;25 octobre 1970
Bonnie;Christine Taylor;['324', '325', '401'];Recurrent;
Kate Miller;Dina Meyer;['319', '320', '322'];Recurrent;22 décembre 1968
Sandra Green;Marlo Thomas;['211', '222', '820'];Recurrent;
Danny, le yeti;George Newbern;['506', '507', '510'];Recurrent;30 décembre 1964
Doug;Sam McMurray;['324', '512', '811'];Recurrent;15 avril 1952
Marshall Talmant;Reg Rogers;['319', '320', '322'];Recurrent;
Steve;Phill  Lewis;['911', '915', '918'];Recurrent;4 septembre 1968
Bob le marrant;Vincent Ventresca;['110', '210'];Recurrent;29 avril 1966
Chloe;Angela Featherstone;['315', '316'];Recurrent;
Dr Horton;Roark Critchlow;['212', '218'];Recurrent;11 mai 1963
Stu;Fred Stoller;['410', '808'];Recurrent;
Lauren;Jennifer Milmore;['320', '322'];Recurrent;
Mrs Hanigan;Christine Rose;['907', '1012'];Recurrent;
Trent;Jeffrey D. Brooks;['318', '322'];Recurrent;
Mr Hanigan;Gregory Itzin;['907', '1012'];Recurrent;20 avril 1948
Kim Clozzi;Joanna Gleason;['518', '608'];Recurrent;2 juin 1950
Kiki;Michele Maika;['104', '306'];Recurrent;
Serveur gay au restaurant;Sam Pancake;['816', '914'];Recurrent;
Dr Ledbetter;Michael Ensign;['509', '514'];Recurrent;13 février 1944
Mr Douglas;Dorien Wilson;['116', '223'];Recurrent;
Mlle Tedlock;Fritzi Burr;['115', '224'];Recurrent;
Robbie;Christopher Miranda;['102', '120'];Recurrent;30 juillet 1970
Jake;Troy Norton;['718', '722'];Recurrent;
Claudia;Monique Edwards;['905', '910'];Recurrent;
Ken;Brian Chenoweth;['905', '910'];Recurrent;
Mr Waltham;Paxton Whitehead;['413', '414'];Recurrent;
Infirmière à l’hôpital;Evie Peck;['803', '811'];Recurrent;
Gavin Mitchell;Dermot Mulroney;['911', '912', '913'];Notoire;31 octobre 1963
Steven Waltham;Tom Conti;['424', '501'];Notoire;22 novembre 1941
Molly;Melissa George;['912', '913'];Notoire;6 août 1976
Terry;Max Wright;['109', '206'];Notoire;2 août 1943
Russel;Ron Glass;['602', '604'];Notoire;10 juillet 1945
Mr Kaplan Jr;Shelley Berman;['310', '311'];Notoire;
Frank Sr Buffay;Bob Balaban;['513'];Notoire;
Russ;Snaro;['210'];Notoire;2 novembre 1966
Mindy Hunter;Jennifer Grey;['120'];Notoire;26 mars 1960
Carol Willick;Anita Barone;['102'];Notoire;25 septembre 1964
Tim Burke;Michael Vartan;['408'];Notoire;27 novembre 1968
Felicity;Olivia Williams;['424'];Notoire;
Duncan;Steve Zahn;['204'];Notoire;13 novembre 1967
Ginger;Sherilyn Fenn;['314'];Notoire;1er février 1965
Katie;Soleil Moon Frye;['515'];Notoire;
Kristen Leigh;Gabrielle Union;['717'];Notoire;29 octobre 1972
Erin;Kristin Davis;['707'];Notoire;23 février 1965
Dr Benjamin Hobart;Greg Kinnear;['1006'];Notoire;17 juin 1963
Cheryl;Rebecca Romijn;['406'];Notoire;6 novembre 1972
Dr Franzblau;Jonathan Silverman;['123'];Notoire;5 août 1966
Gardien du zoo de San Diego;Dan Castellaneta;['212'];Notoire;29 octobre 1957
Mme Bergen;Pat Crowley;['418'];Notoire;
Iris;Beverly Garland;['118'];Notoire;
James Campbell;Brent Spiner;['1014'];Notoire;2 février 1949
Wendy;Selma Blair;['910'];Notoire;
Amanda;Jennifer Coolidge;['1003'];Notoire;28 août 1961
Fran Devanow;Leila Kenzle;['116'];Notoire;
Gloria Tribbiani;Brenda Vaccaro;['113'];Notoire;18 novembre 1939
Démarcheur d’encyclopédies;Penn Jilette;['403'];Notoire;
Mme Buffay;Laraine Newman;['221'];Notoire;
Zack;John Stamos;['922'];Notoire;19 août 1963
Donny Osmond;Donny Osmond;['1011'];Notoire;
Dr Baldhadar;Harry Shearer;['121'];Notoire;23 décembre 1943
Leslie Charleston;Leslie Charleston;['1011'];Notoire;
