Personnage;Relation;Personnage lié;Acteur lié;Episodes
Joey;Petit%20Ami;Janine Lecroix;Elle Mac Pherson;['607', '608', '609', '610', '611', '319', '320', '322', '320', '322', '212', '424', '715', '515', '422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Kate Miller;Dina Meyer;['319', '320', '322', '320', '322', '212', '424', '715', '515', '422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Lauren;Jennifer Milmore;['320', '322', '212', '424', '715', '515', '422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Erica Ford;Brooke Shield;['212', '424', '715', '515', '422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Felicity;Olivia Williams;['424', '715', '515', '422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Cecilia Monroe;Suzan Sarandon;['715', '515', '422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Katie;Soleil Moon Frye;['515', '422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Strip-teaseuse;Lisa Rotondi;['422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Colocataire d’Hayley;Nikita Ager;['904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Angela;Kim Gillingham;['105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Erin;Kristin Davis;['707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Annabel;Emily Procter;['202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Hayley;Susan Ward;['904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Sandy;Sarah McDonnel;['110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Shelley;Sasha Alexander;['819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Cynthia;Jennette Robbins;['509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Mabel;Krista Allen;['812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Melanie;Corinne Bohrer;['124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Lorraine;Nancy Valen;['114', '1007', '1009', '407']
Joey;Petit%20Ami;Laura;Maria Pitillo;['1007', '1009', '407']
Joey;Petit%20Ami;Sarah;Anna Parisse;['1009', '407']
Joey;Petit%20Ami;Casey;non créditée;['407']
Joey;Famille;Dina Tribbiani;Marla Sokoloff;['810', '311', '311', '311', '519', '113', '311', '311', '113', '311']
Joey;Famille;Gina Tribbiani;K. J. Steinberg;['311', '311', '311', '519', '113', '311', '311', '113', '311']
Joey;Famille;Dina Tribbiani;Lisa Melili;['311', '311', '519', '113', '311', '311', '113', '311']
Joey;Famille;Cookie Tribbiani;Alex Meneses;['311', '519', '113', '311', '311', '113', '311']
Joey;Famille;Nonnie Tribbiani;Lilyan Chauvin;['519', '113', '311', '311', '113', '311']
Joey;Famille;Joey Tribbiani Sr;Robert Costanzo;['113', '311', '311', '113', '311']
Joey;Famille;Mary-Theresa Tribbiani;Mimi Leiber;['311', '311', '113', '311']
Joey;Famille;Nonna;Penny Santon;['311', '113', '311']
Joey;Famille;Gloria Tribbiani;Brenda Vaccaro;['113', '311']
Joey;Famille;Mary-Angela Tribbiani;non créditée;['311']
Joey;Ami;Dick;non crédité;['321', '322', '323', '402', '414', '422', '503', '508', '512', '519', '620', '321', '323', '402', '408', '414', '503', '511', '512', '620', '1014', '423']
Joey;Ami;Yasmine;non crédité;['321', '323', '402', '408', '414', '503', '511', '512', '620', '1014', '423']
Joey;Ami;Mackenzie;Dakota Fanning;['1014', '423']
Joey;Ami;Sarah Ferguson;Sarah Ferguson;['423']
Joey;Voisin;Chanteur matinal;Michael Connor;['419']
Joey;Collègue;Richard Crosby;Gary Oldman;['723', '724', '723', '724', '723', '724', '404', '1015', '715', '915', '604', '621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Réalisateur du film;Mark Roberts;['723', '724', '723', '724', '404', '1015', '715', '915', '604', '621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Assistant du réalisateur sur le plateau;Peter James Smith;['723', '724', '404', '1015', '715', '915', '604', '621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Mr Simon et Al Zebooker;E. J. Callahan;['404', '1015', '715', '915', '604', '621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Fredrick;George Stults;['715', '915', '604', '621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Leonard Haze;Jeff Goldblum;['915', '604', '621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
