id;personnage;acteur;episode;group;date_naissance_acteur;nom_personnage;prenom_personnage;nom_acteur;prenom_acteur;date_naissance_personnage
1;Rachel Karen Green;Jennifer Aniston;*;Principale;11/02/1969;Green;Rachel Karen;Aniston;Jennifer;05/05/1969
2;Monica E. Geller-Bing;Courteney Cox;*;Principale;15/06/1964;Geller-Bing;Monica E.;Cox;Courteney;22/04/1969
3;Phoebe Buffay Hannigan;Lisa Kudrow;*;Principale;30/07/1963;Hannigan;Phoebe Buffay;Kudrow;Lisa;16/02/1967
4;"Joseph ""Joey"" Francis Tribbiani";Matt LeBlanc;*;Principale;25/07/1967;Tribbiani;"Joseph ""Joey"" Francis";LeBlanc;Matt;09/01/1968
5;Chandler Muriel Bing;Matthew Perry;*;Principale;19/08/1969;Bing;Chandler Muriel;Perry;Matthew;19/04/1968
6;Ross Eustace Geller;David Schwimmer;*;Principale;02/11/1966;Geller;Ross Eustace;Schwimmer;David;18/10/1967
7;Richard Burke;Tom Selleck;['215', '216', '218', '220', '223', '224', '313', '624', '625'];Celebrite;29/01/1945;Burke;Richard;Selleck;Tom;29/01/1945
8;Nora Tyler Bing;Morgan Fairchild;['111', '508', '723', '724', '801'];Celebrite;03/02/1950;Bing;Nora Tyler;Fairchild;Morgan;
9;Janine Lecroix;Elle Mac Pherson;['607', '608', '609', '610', '611'];Celebrite;29/03/1963;Lecroix;Janine;Pherson;Elle Mac;
10;Charles « Helena » Bing;Kathleen Turner;['722', '723', '724'];Celebrite;19/06/1954;Bing;Charles « Helena »;Turner;Kathleen;
11;Paul Stevens;Bruce Willis;['621', '622', '623'];Celebrite;19/03/1955;Stevens;Paul;Willis;Bruce;
12;Amy Green;Christina  Applegate;['908', '1005'];Celebrite;25/11/1971;Green;Amy;Applegate;Christina ;
13;Jill Green;Reese Witherspoon;['613', '614'];Celebrite;22/03/1976;Green;Jill;Witherspoon;Reese;
14;Richard Crosby;Gary Oldman;['723', '724'];Celebrite;21/03/1958;Crosby;Richard;Oldman;Gary;
15;Andrea Waltham;Jennifer Saunders;['424', '501'];Celebrite;06/07/1958;Waltham;Andrea;Saunders;Jennifer;
16;Eric;Sean Penn;['806', '807'];Celebrite;17/08/1960;Eric;Andrea;Penn;Sean;
17;Parker;Alec Baldwin;['817', '818'];Celebrite;03/04/1958;Parker;Andrea;Baldwin;Alec;
18;Steve;Jon Lovitz;['115', '914'];Celebrite;21/07/1957;Steve;Andrea;Lovitz;Jon;
19;Will Colbert;Brad Pitt;['809'];Celebrite;18/12/1963;Colbert;Will;Pitt;Brad;
20;Melissa Warburton;Winona Ryder;['720'];Celebrite;29/10/1971;Warburton;Melissa;Ryder;Winona;
21;Jean-Claude Van Damme;Jean-Claude Van Damme;['213'];Celebrite;18/10/1960;Damme;Jean-Claude Van;Damme;Jean-Claude Van;
22;Susie Moss;Julia Roberts;['213'];Celebrite;28/10/1967;Moss;Susie;Roberts;Julia;
