Personnage;Relation;Personnage lié;id;Acteur lié;Episodes
Monica;Petit%20Ami;Richard Burke;7;Tom Selleck;['215', '216', '218', '220', '223', '224', '313', '624', '625', '318', '319', '321', '322', '323', '324', '110', '210', '615', '616', '101', '214', '117', '408', '312', '711', '402', '103', '315', '122', '105']
Chandler;Famille;Nora Tyler Bing;8;Morgan Fairchild;['111', '508', '723', '724', '801', '722', '723', '724', '1017', '1018', '1017', '1018', '508']
Joey;Petit%20Ami;Janine Lecroix;9;Elle Mac Pherson;['607', '608', '609', '610', '611', '319', '320', '322', '320', '322', '212', '424', '715', '515', '422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Chandler;Famille;Charles « Helena » Bing;10;Kathleen Turner;['722', '723', '724', '1017', '1018', '1017', '1018', '508']
Rachel;Petit%20Ami;Paul Stevens;11;Bruce Willis;['621', '622', '623', '911', '912', '913', '506', '507', '510', '210', '213', '322', '405', '207', '502', '124']
Rachel;Famille;Amy Green;12;Christina  Applegate;['908', '1005', '613', '614']
Rachel;Famille;Jill Green;13;Reese Witherspoon;['613', '614']
Joey;Collègue;Richard Crosby;14;Gary Oldman;['723', '724', '723', '724', '723', '724', '404', '1015', '715', '915', '604', '621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Phoebe;Petit%20Ami;Eric;16;Sean Penn;['806', '807', '823', '824', '817', '818', '718', '722', '212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Parker;17;Alec Baldwin;['817', '818', '718', '722', '212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Rachel;Ami;Melissa Warburton;20;Winona Ryder;['720', '224', '306', '104', '104', '820']
Rachel;Petit%20Ami;Jean-Claude Van Damme;21;Jean-Claude Van Damme;['213', '322', '405', '207', '502', '124']
Chandler;Petit%20Ami;Susie Moss;22;Julia Roberts;['213', '106', '1011', '314', '116', '420', '706', '120', '205', '618']
Joey;Petit%20Ami;Erica Ford;25;Brooke Shield;['212', '424', '715', '515', '422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Monica;Petit%20Ami;Dr Mitchell;26;George Clooney;['117', '408', '312', '711', '402', '103', '315', '122', '105']
Phoebe;Petit%20Ami;Rob Donan;27;Chris Isaak;['212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Ross;Famille;Cassie;28;Denise Richards;['719', '118', '304', '711', '108', '711', '818', '818']
Monica;Famille;Cassie;28;Denise Richards;['719', '118', '304', '711', '108', '711', '818', '818']
Joey;Petit%20Ami;Cecilia Monroe;30;Suzan Sarandon;['715', '515', '422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Rachel;Petit%20Ami;Tommy;31;Ben Stiller;['322', '405', '207', '502', '124']
Joey;Ami;Mackenzie;32;Dakota Fanning;['1014', '423']
Joey;Collègue;Leonard Haze;33;Jeff Goldblum;['915', '604', '621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Phoebe;Petit%20Ami;Malcolm;34;David Arquette;['303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Ryan;37;Charlie Sheen;['223', '805', '507', '715', '404']
Joey;Ami;Sarah Ferguson;44;Sarah Ferguson;['423']
Rachel;Collègue;Ralph Lauren;47;Ralph Lauren;['608', '409', '518', '912', '624']
Ross;Famille;Emma Geller;52;non créditée;['824', '901', '902', '905', '906', '907', '911', '912', '914', '917', '923', '1001', '1004', '1005', '1006', '1007', '1008', '1009', '1010', '1013', '1015', '102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004', '102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Monica;Famille;Emma Geller;52;non créditée;['824', '901', '902', '905', '906', '907', '911', '912', '914', '917', '923', '1001', '1004', '1005', '1006', '1007', '1008', '1009', '1010', '1013', '1015', '102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004', '102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Ross;Famille;Jack Geller;53;Elliott Gould;['102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004', '102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Monica;Famille;Jack Geller;53;Elliott Gould;['102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004', '102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Ross;Famille;Judy Geller;54;Christina Pickles;['102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
