Personnage;Relation;Personnage lié;id_personnage;Acteur lié;Episodes;id_relation;id_personnage_1;
Monica;Petit%20Ami;Richard Burke;7;Tom Selleck;['215', '216', '218', '220', '223', '224', '313', '624', '625'];1;2;
Chandler;Famille;Nora Tyler Bing;8;Morgan Fairchild;['111', '508', '723', '724', '801'];2;5;
Joey;Petit%20Ami;Janine Lecroix;9;Elle Mac Pherson;['607', '608', '609', '610', '611'];1;4;
Chandler;Famille;Charles « Helena » Bing;10;Kathleen Turner;['722', '723', '724'];2;5;
Rachel;Petit%20Ami;Paul Stevens;11;Bruce Willis;['621', '622', '623'];1;1;
Rachel;Famille;Amy Green;12;Christina  Applegate;['908', '1005'];2;1;
Rachel;Famille;Jill Green;13;Reese Witherspoon;['613', '614'];2;1;
Joey;Collègue;Richard Crosby;14;Gary Oldman;['723', '724'];5;4;
Phoebe;Petit%20Ami;Eric;16;Sean Penn;['806', '807'];1;3;
Phoebe;Petit%20Ami;Parker;17;Alec Baldwin;['817', '818'];1;3;
Rachel;Ami;Melissa Warburton;20;Winona Ryder;['720'];3;1;
Rachel;Petit%20Ami;Jean-Claude Van Damme;21;Jean-Claude Van Damme;['213'];1;1;
Chandler;Petit%20Ami;Susie Moss;22;Julia Roberts;['213'];1;5;
Joey;Petit%20Ami;Erica Ford;25;Brooke Shield;['212'];1;4;
Monica;Petit%20Ami;Dr Mitchell;26;George Clooney;['117'];1;2;
Phoebe;Petit%20Ami;Rob Donan;27;Chris Isaak;['212'];1;3;
Ross;Famille;Cassie;28;Denise Richards;['719'];2;6;
Monica;Famille;Cassie;28;Denise Richards;['719'];2;2;
Joey;Petit%20Ami;Cecilia Monroe;30;Suzan Sarandon;['715'];1;4;
Rachel;Petit%20Ami;Tommy;31;Ben Stiller;['322'];1;1;
Joey;Ami;Mackenzie;32;Dakota Fanning;['1014'];3;4;
Joey;Collègue;Leonard Haze;33;Jeff Goldblum;['915'];5;4;
Phoebe;Petit%20Ami;Malcolm;34;David Arquette;['303'];1;3;
Phoebe;Petit%20Ami;Ryan;37;Charlie Sheen;['223'];1;3;
Joey;Ami;Sarah Ferguson;44;Sarah Ferguson;['423'];3;4;
Rachel;Collègue;Ralph Lauren;47;Ralph Lauren;['608'];5;1;
Ross;Famille;Emma Geller;52;non créditée;['824', '901', '902', '905', '906', '907', '911', '912', '914', '917', '923', '1001', '1004', '1005', '1006', '1007', '1008', '1009', '1010', '1013', '1015'];2;6;
Monica;Famille;Emma Geller;52;non créditée;['824', '901', '902', '905', '906', '907', '911', '912', '914', '917', '923', '1001', '1004', '1005', '1006', '1007', '1008', '1009', '1010', '1013', '1015'];2;2;
Ross;Famille;Jack Geller;53;Elliott Gould;['102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004'];2;6;
Monica;Famille;Jack Geller;53;Elliott Gould;['102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004'];2;2;
Ross;Famille;Judy Geller;54;Christina Pickles;['102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004'];2;6;
Monica;Famille;Judy Geller;54;Christina Pickles;['102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004'];2;2;
Chandler;Petit%20Ami;Janice Littman Guralnick;55;Maggie Wheeler;['105', '110', '114', '203', '224', '301', '303', '304', '306', '307', '308', '415', '512', '707', '823', '824', '921', '1015'];1;5;
Phoebe;Petit%20Ami;Mike Hanigan;56;Paul Rudd;['903', '904', '906', '907', '909', '912', '913', '916', '917', '923', '924', '1001', '1005', '1007', '1012', '1014', '1017'];1;3;
Ross;Famille;Ben Geller;57;Cole Mitchell Sprouse;['123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812'];2;6;
Monica;Famille;Ben Geller;57;Cole Mitchell Sprouse;['123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812'];2;2;
Ross;Petit%20Ami;Carol Willick;58;Jane Sibbett;['109', '112', '114', '116', '123', '202', '211', '220', '304', '317', '418', '518', '615', '616', '716'];1;6;
Ross;Petit%20Ami;Emily Waltham;59;Helen Baxendale;['414', '415', '416', '417', '418', '419', '421', '423', '424', '501', '504', '506', '520'];1;6;
Joey;Ami;Dick;61;non crédité;['321', '322', '323', '402', '414', '422', '503', '508', '512', '519', '620'];3;4;
Phoebe;Famille;Frank Jr Buffay;64;Giovanni Ribisi;['206', '221', '305', '318', '411', '412', '417', '503', '1002'];2;3;
Ross;Petit%20Ami;Professeur Charlie Wheeler;65;Aisha Tyler;['920', '921', '922', '923', '924', '1001', '1002', '1005', '1006'];1;6;
Joey;Ami;Yasmine;66;non crédité;['321', '323', '402', '408', '414', '503', '511', '512', '620'];3;4;
Phoebe;Famille;Ursula Buffay;67;Lisa Kudrow;['116', '117', '303', '401', '513', '614', '714', '806'];2;3;
Rachel;Petit%20Ami;Tag Jones;68;Eddie Cahill;['704', '705', '708', '709', '712', '714', '802'];1;1;
Ross;Petit%20Ami;Mona;69;Bonnie Somerville;['801', '805', '806', '808', '811', '815', '817'];1;6;
Ross;Petit%20Ami;Julie;70;Lauren Tom;['124', '201', '202', '204', '207', '208', '210'];1;6;
Chandler;Petit%20Ami;Kathy;71;Paget Brewster;['405', '406', '407', '408', '411', '413'];1;5;
Monica;Petit%20Ami;Pete Becker;72;Jon Favreau;['318', '319', '321', '322', '323', '324'];1;2;
Phoebe;Famille;Alice Knight ep. Buffay;73;Debra Jo Rupp;['318', '411', '412', '417', '418', '503'];2;3;
Rachel;Collègue;Mark;74;Steven Eckholdt;['311', '312', '314', '315', '319', '1014'];5;1;
