ID_ep;ID_personnage;ID_personnage_1;ID_relation
215;7;2;1
216;7;2;1
218;7;2;1
220;7;2;1
223;7;2;1
224;7;2;1
313;7;2;1
624;7;2;1
625;7;2;1
111;8;5;2
508;8;5;2
723;8;5;2
724;8;5;2
801;8;5;2
607;9;4;1
608;9;4;1
609;9;4;1
610;9;4;1
611;9;4;1
722;10;5;2
723;10;5;2
724;10;5;2
621;11;1;1
622;11;1;1
623;11;1;1
908;12;1;2
1005;12;1;2
613;13;1;2
614;13;1;2
723;14;4;5
724;14;4;5
806;16;3;1
807;16;3;1
817;17;3;1
818;17;3;1
720;20;1;3
213;21;1;1
213;22;5;1
212;25;4;1
117;26;2;1
212;27;3;1
719;28;6;2
719;28;2;2
715;30;4;1
322;31;1;1
1014;32;4;3
915;33;4;5
303;34;3;1
223;37;3;1
423;44;4;3
608;47;1;5
824;52;6;2
901;52;6;2
902;52;6;2
905;52;6;2
906;52;6;2
907;52;6;2
911;52;6;2
912;52;6;2
914;52;6;2
917;52;6;2
923;52;6;2
1001;52;6;2
1004;52;6;2
1005;52;6;2
1006;52;6;2
1007;52;6;2
1008;52;6;2
1009;52;6;2
1010;52;6;2
1013;52;6;2
1015;52;6;2
824;52;2;2
901;52;2;2
902;52;2;2
905;52;2;2
906;52;2;2
907;52;2;2
911;52;2;2
912;52;2;2
914;52;2;2
917;52;2;2
923;52;2;2
1001;52;2;2
1004;52;2;2
1005;52;2;2
1006;52;2;2
1007;52;2;2
1008;52;2;2
1009;52;2;2
1010;52;2;2
1013;52;2;2
1015;52;2;2
102;53;6;2
108;53;6;2
117;53;6;2
214;53;6;2
216;53;6;2
301;53;6;2
424;53;6;2
501;53;6;2
508;53;6;2
609;53;6;2
702;53;6;2
703;53;6;2
713;53;6;2
714;53;6;2
723;53;6;2
724;53;6;2
801;53;6;2
818;53;6;2
901;53;6;2
1004;53;6;2
102;53;2;2
108;53;2;2
117;53;2;2
214;53;2;2
216;53;2;2
301;53;2;2
424;53;2;2
501;53;2;2
508;53;2;2
609;53;2;2
702;53;2;2
703;53;2;2
713;53;2;2
714;53;2;2
723;53;2;2
724;53;2;2
801;53;2;2
818;53;2;2
901;53;2;2
1004;53;2;2
102;54;6;2
108;54;6;2
214;54;6;2
216;54;6;2
301;54;6;2
403;54;6;2
424;54;6;2
501;54;6;2
508;54;6;2
609;54;6;2
702;54;6;2
714;54;6;2
723;54;6;2
724;54;6;2
801;54;6;2
818;54;6;2
823;54;6;2
905;54;6;2
1004;54;6;2
102;54;2;2
108;54;2;2
214;54;2;2
216;54;2;2
301;54;2;2
403;54;2;2
424;54;2;2
501;54;2;2
508;54;2;2
609;54;2;2
702;54;2;2
714;54;2;2
723;54;2;2
724;54;2;2
801;54;2;2
818;54;2;2
823;54;2;2
905;54;2;2
1004;54;2;2
105;55;5;1
110;55;5;1
114;55;5;1
203;55;5;1
224;55;5;1
301;55;5;1
303;55;5;1
304;55;5;1
306;55;5;1
307;55;5;1
308;55;5;1
415;55;5;1
512;55;5;1
707;55;5;1
823;55;5;1
824;55;5;1
921;55;5;1
1015;55;5;1
903;56;3;1
904;56;3;1
906;56;3;1
907;56;3;1
909;56;3;1
912;56;3;1
913;56;3;1
916;56;3;1
917;56;3;1
923;56;3;1
924;56;3;1
1001;56;3;1
1005;56;3;1
1007;56;3;1
1012;56;3;1
1014;56;3;1
1017;56;3;1
123;57;6;2
202;57;6;2
206;57;6;2
220;57;6;2
304;57;6;2
308;57;6;2
405;57;6;2
418;57;6;2
511;57;6;2
518;57;6;2
615;57;6;2
709;57;6;2
710;57;6;2
716;57;6;2
810;57;6;2
812;57;6;2
123;57;2;2
202;57;2;2
206;57;2;2
220;57;2;2
304;57;2;2
308;57;2;2
405;57;2;2
418;57;2;2
511;57;2;2
518;57;2;2
615;57;2;2
709;57;2;2
710;57;2;2
716;57;2;2
810;57;2;2
812;57;2;2
109;58;6;1
112;58;6;1
114;58;6;1
116;58;6;1
123;58;6;1
202;58;6;1
211;58;6;1
220;58;6;1
304;58;6;1
317;58;6;1
418;58;6;1
518;58;6;1
615;58;6;1
616;58;6;1
716;58;6;1
414;59;6;1
415;59;6;1
416;59;6;1
417;59;6;1
418;59;6;1
419;59;6;1
421;59;6;1
423;59;6;1
424;59;6;1
501;59;6;1
504;59;6;1
506;59;6;1
520;59;6;1
321;61;4;3
322;61;4;3
323;61;4;3
402;61;4;3
414;61;4;3
422;61;4;3
503;61;4;3
508;61;4;3
512;61;4;3
519;61;4;3
620;61;4;3
206;64;3;2
221;64;3;2
305;64;3;2
318;64;3;2
411;64;3;2
412;64;3;2
417;64;3;2
503;64;3;2
1002;64;3;2
920;65;6;1
921;65;6;1
922;65;6;1
923;65;6;1
924;65;6;1
1001;65;6;1
1002;65;6;1
1005;65;6;1
1006;65;6;1
321;66;4;3
323;66;4;3
402;66;4;3
408;66;4;3
414;66;4;3
503;66;4;3
511;66;4;3
512;66;4;3
620;66;4;3
116;67;3;2
117;67;3;2
303;67;3;2
401;67;3;2
513;67;3;2
614;67;3;2
714;67;3;2
806;67;3;2
704;68;1;1
705;68;1;1
708;68;1;1
709;68;1;1
712;68;1;1
714;68;1;1
802;68;1;1
801;69;6;1
805;69;6;1
806;69;6;1
808;69;6;1
811;69;6;1
815;69;6;1
817;69;6;1
124;70;6;1
201;70;6;1
202;70;6;1
204;70;6;1
207;70;6;1
208;70;6;1
210;70;6;1
405;71;5;1
406;71;5;1
407;71;5;1
408;71;5;1
411;71;5;1
413;71;5;1
318;72;2;1
319;72;2;1
321;72;2;1
322;72;2;1
323;72;2;1
324;72;2;1
318;73;3;2
411;73;3;2
412;73;3;2
417;73;3;2
418;73;3;2
503;73;3;2
311;74;1;5
312;74;1;5
314;74;1;5
315;74;1;5
319;74;1;5
1014;74;1;5
110;75;3;1
711;75;3;1
906;75;3;1
922;75;3;1
923;75;3;1
618;76;6;1
619;76;6;1
621;76;6;1
622;76;6;1
624;76;6;1
102;77;1;1
119;77;1;1
120;77;1;1
224;77;1;1
616;77;1;1
413;78;1;1
414;78;1;1
416;78;1;1
418;78;1;1
420;78;1;1
203;80;2;4
209;80;2;4
404;80;2;4
417;80;2;4
803;80;2;4
107;81;1;1
111;81;1;1
112;81;1;1
201;81;1;1
517;83;1;5
709;83;1;5
817;83;1;5
911;83;1;5
1014;83;1;5
1015;83;1;5
516;85;3;1
517;85;3;1
520;85;3;1
521;85;3;1
222;86;1;2
307;86;1;2
808;86;1;2
1013;86;1;2
101;87;3;5
112;87;3;5
305;87;3;5
316;87;3;5
315;88;1;5
320;88;1;5
403;88;1;5
409;88;1;5
325;89;3;2
401;89;3;2
411;89;3;2
320;90;1;5
